sample_id,tissue,metadata,gene_expression,metilation
GTEX-111VG-1926,Testis,1,1,0
GTEX-111VG-2026,Small Intestine - Terminal Ileum,1,0,0
GTEX-111VG-2126,Colon - Sigmoid,1,0,0
GTEX-111VG-2226,Colon - Transverse,1,1,1
GTEX-111VG-2326,Adipose - Subcutaneous,1,1,0
GTEX-111VG-2426,Skin - Sun Exposed (Lower leg),1,1,0
GTEX-111VG-2526,Nerve - Tibial,1,1,0
GTEX-111VG-2626,Muscle - Skeletal,1,1,0
GTEX-111VG-2726,Artery - Tibial,1,0,0
GTEX-111VG-2826,Brain - Cortex,1,0,0
GTEX-111VG-2926,Brain - Cerebellum,1,0,0
GTEX-111VG-3026,Pituitary,1,0,0
GTEX-111YS-0126,Adrenal Gland,1,1,0
GTEX-111YS-0226,Spleen,1,0,0
GTEX-111YS-0326,Heart - Atrial Appendage,1,1,0
GTEX-111YS-0426,Heart - Left Ventricle,1,1,0
GTEX-111YS-0526,Artery - Aorta,1,1,0
GTEX-111YS-0626,Lung,1,1,0
GTEX-111YS-0726,Thyroid,1,1,0
GTEX-111YS-0826,Esophagus - Gastroesophageal Junction,1,1,0
GTEX-111YS-0926,Esophagus - Mucosa,1,1,0
GTEX-111YS-1026,Esophagus - Muscularis,1,1,0
GTEX-111YS-1126,Stomach,1,1,0
GTEX-111YS-1226,Pancreas,1,1,0
GTEX-111YS-1326,Adipose - Visceral (Omentum),1,1,0
GTEX-111YS-1426,Small Intestine - Terminal Ileum,1,1,0
GTEX-111YS-1526,Skin - Not Sun Exposed (Suprapubic),1,1,0
GTEX-111YS-1626,Colon - Transverse,1,1,1
GTEX-111YS-1726,Prostate,1,1,0
GTEX-111YS-1826,Colon - Sigmoid,1,1,0
GTEX-111YS-1926,Breast - Mammary Tissue,1,1,0
GTEX-111YS-2026,Testis,1,1,0
GTEX-111YS-2126,Nerve - Tibial,1,1,0
GTEX-111YS-2226,Artery - Tibial,1,1,0
GTEX-111YS-2326,Muscle - Skeletal,1,1,0
GTEX-111YS-2426,Adipose - Subcutaneous,1,1,0
GTEX-111YS-2526,Skin - Sun Exposed (Lower leg),1,0,0
GTEX-1122O-0126,Lung,1,1,0
GTEX-1122O-0226,Thyroid,1,1,0
GTEX-1122O-0326,Adrenal Gland,1,1,0
GTEX-1122O-0426,Artery - Coronary,1,1,0
GTEX-1122O-0526,Spleen,1,1,0
GTEX-1122O-0626,Heart - Atrial Appendage,1,1,0
GTEX-1122O-0726,Pancreas,1,1,0
GTEX-1122O-0826,Heart - Left Ventricle,1,1,0
GTEX-1122O-0926,Adipose - Visceral (Omentum),1,1,0
GTEX-1122O-1026,Skin - Not Sun Exposed (Suprapubic),1,1,0
GTEX-1122O-1126,Artery - Aorta,1,1,0
GTEX-1122O-1226,Breast - Mammary Tissue,1,1,0
GTEX-1122O-1326,Small Intestine - Terminal Ileum,1,1,0
GTEX-1122O-1426,Colon - Sigmoid,1,1,0
GTEX-1122O-1526,Colon - Transverse,1,1,0
GTEX-1122O-1626,Esophagus - Muscularis,1,1,0
GTEX-1122O-1726,Esophagus - Mucosa,1,1,0
GTEX-1122O-1826,Esophagus - Gastroesophageal Junction,1,1,0
GTEX-1122O-1926,Stomach,1,1,0
GTEX-1122O-2026,Adipose - Subcutaneous,1,1,0
GTEX-1122O-2126,Skin - Sun Exposed (Lower leg),1,1,0
GTEX-1122O-2226,Nerve - Tibial,1,0,0
GTEX-1122O-2326,Artery - Tibial,1,1,0
GTEX-1122O-2426,Muscle - Skeletal,1,1,0
GTEX-1128S-0126,Thyroid,1,1,0
GTEX-1128S-0226,Spleen,1,0,0
GTEX-1128S-0326,Artery - Aorta,1,1,0
GTEX-1128S-0426,Heart - Atrial Appendage,1,0,0
GTEX-1128S-0526,Artery - Coronary,1,0,0
GTEX-1128S-0626,Heart - Left Ventricle,1,0,0
GTEX-1128S-0726,Lung,1,1,0
GTEX-1128S-0826,Pancreas,1,1,0
GTEX-1128S-0926,Adipose - Visceral (Omentum),1,1,0
GTEX-1128S-1026,Kidney - Cortex,1,0,0
GTEX-1128S-1126,Breast - Mammary Tissue,1,0,0
GTEX-1128S-1226,Esophagus - Gastroesophageal Junction,1,0,0
GTEX-1128S-1326,Esophagus - Muscularis,1,0,0
GTEX-1128S-1426,Esophagus - Mucosa,1,0,0
GTEX-1128S-1526,Stomach,1,0,0
GTEX-1128S-1626,Colon - Transverse,1,1,0
GTEX-1128S-1726,Small Intestine - Terminal Ileum,1,0,0
GTEX-1128S-1826,Skin - Not Sun Exposed (Suprapubic),1,0,0
GTEX-1128S-1926,Pancreas,1,0,0
GTEX-1128S-2026,Colon - Sigmoid,1,0,0
GTEX-1128S-2126,Adipose - Subcutaneous,1,1,0
GTEX-1128S-2226,Nerve - Tibial,1,0,0
GTEX-1128S-2326,Skin - Sun Exposed (Lower leg),1,1,0
GTEX-1128S-2426,Muscle - Skeletal,1,1,0
GTEX-1128S-2526,Artery - Tibial,1,1,0
GTEX-1128S-2626,Pituitary,1,1,0
GTEX-1128S-2726,Brain - Cortex,1,1,0
GTEX-1128S-2826,Brain - Cerebellum,1,1,0
GTEX-113IC-0126,Skin - Sun Exposed (Lower leg),1,1,0
GTEX-113IC-0226,Adipose - Subcutaneous,1,1,0
GTEX-113IC-0426,Artery - Tibial,1,1,0
GTEX-113IC-0526,Nerve - Tibial,1,1,0
GTEX-113JC-0126,Thyroid,1,1,0
GTEX-113JC-0226,Artery - Aorta,1,0,0
GTEX-113JC-0326,Spleen,1,0,0
GTEX-113JC-0426,Liver,1,0,0
GTEX-113JC-0526,Pancreas,1,0,0
GTEX-113JC-0626,Kidney - Cortex,1,0,0
GTEX-113JC-0726,Adipose - Visceral (Omentum),1,1,0
GTEX-113JC-0826,Adrenal Gland,1,0,0
GTEX-113JC-0926,Esophagus - Muscularis,1,1,0
GTEX-113JC-1026,Esophagus - Gastroesophageal Junction,1,1,0
GTEX-113JC-1126,Esophagus - Mucosa,1,0,0
GTEX-113JC-1226,Stomach,1,0,0
GTEX-113JC-1326,Lung,1,0,1
GTEX-113JC-1426,Breast - Mammary Tissue,1,0,0
GTEX-113JC-1526,Skin - Not Sun Exposed (Suprapubic),1,0,0
GTEX-113JC-1626,Small Intestine - Terminal Ileum,1,0,0
GTEX-113JC-1726,Colon - Sigmoid,1,0,0
GTEX-113JC-1826,Colon - Transverse,1,0,1
GTEX-113JC-1926,Vagina,1,1,0
GTEX-113JC-2026,Ovary,1,0,0
GTEX-113JC-2226,Uterus,1,1,0
GTEX-113JC-2326,Skin - Sun Exposed (Lower leg),1,1,0
GTEX-113JC-2426,Nerve - Tibial,1,0,0
GTEX-113JC-2526,Adipose - Subcutaneous,1,0,0
GTEX-113JC-2626,Artery - Tibial,1,0,0
GTEX-113JC-2726,Muscle - Skeletal,1,1,0
GTEX-113JC-2826,Pituitary,1,1,0
GTEX-113JC-2926,Brain - Cortex,1,0,0
GTEX-113JC-3026,Brain - Cerebellum,1,0,0
GTEX-117XS-0126,Adipose - Visceral (Omentum),1,0,0
GTEX-117XS-0226,Skin - Not Sun Exposed (Suprapubic),1,0,0
GTEX-117XS-0326,Lung,1,0,0
GTEX-117XS-0426,Artery - Aorta,1,1,0
GTEX-117XS-0526,Thyroid,1,1,0
GTEX-117XS-0626,Heart - Left Ventricle,1,0,0
GTEX-117XS-0726,Heart - Atrial Appendage,1,1,0
GTEX-117XS-0826,Artery - Coronary,1,0,0
GTEX-117XS-0926,Liver,1,0,0
GTEX-117XS-1026,Spleen,1,0,0
GTEX-117XS-1126,Pancreas,1,0,0
GTEX-117XS-1226,Adrenal Gland,1,0,0
GTEX-117XS-1326,Kidney - Cortex,1,0,1
GTEX-117XS-1426,Esophagus - Muscularis,1,0,0
GTEX-117XS-1526,Esophagus - Gastroesophageal Junction,1,0,0
GTEX-117XS-1626,Esophagus - Mucosa,1,0,0
GTEX-117XS-1726,Stomach,1,0,0
GTEX-117XS-1826,Prostate,1,0,0
GTEX-117XS-1926,Breast - Mammary Tissue,1,1,0
GTEX-117XS-2026,Testis,1,1,0
GTEX-117XS-2126,Small Intestine - Terminal Ileum,1,0,0
GTEX-117XS-2226,Colon - Sigmoid,1,1,0
GTEX-117XS-2326,Colon - Transverse,1,0,0
GTEX-117XS-2426,Adipose - Subcutaneous,1,0,0
GTEX-117XS-2526,Muscle - Skeletal,1,1,0
GTEX-117XS-2626,Nerve - Tibial,1,0,0
GTEX-117XS-2726,Skin - Sun Exposed (Lower leg),1,1,0
GTEX-117XS-2826,Artery - Tibial,1,0,0
GTEX-117XS-2926,Pituitary,1,1,0
GTEX-117XS-3026,Brain - Cortex,1,1,0
GTEX-117XS-3126,Brain - Cerebellum,1,1,0
GTEX-117YW-0126,Thyroid,1,1,0
GTEX-117YW-0226,Artery - Aorta,1,1,0
GTEX-117YW-0326,Heart - Left Ventricle,1,1,0
GTEX-117YW-0426,Heart - Atrial Appendage,1,1,0
GTEX-117YW-0526,Lung,1,1,0
GTEX-117YW-0626,Liver,1,0,0
GTEX-117YW-0726,Skin - Not Sun Exposed (Suprapubic),1,0,0
GTEX-117YW-0826,Adipose - Visceral (Omentum),1,1,0
GTEX-117YW-0926,Pancreas,1,0,0
GTEX-117YW-1026,Breast - Mammary Tissue,1,0,0
GTEX-117YW-1126,Spleen,1,0,0
GTEX-117YW-1226,Kidney - Cortex,1,0,1
GTEX-117YW-1326,Adrenal Gland,1,0,0
GTEX-117YW-1426,Prostate,1,1,1
GTEX-117YW-1526,Testis,1,1,0
GTEX-117YW-1626,Small Intestine - Terminal Ileum,1,0,0
GTEX-117YW-1726,Colon - Sigmoid,1,0,0
GTEX-117YW-1826,Colon - Transverse,1,1,0
GTEX-117YW-1926,Esophagus - Mucosa,1,1,0
GTEX-117YW-2026,Esophagus - Muscularis,1,1,0
GTEX-117YW-2126,Esophagus - Gastroesophageal Junction,1,0,0
GTEX-117YW-2226,Stomach,1,1,0
GTEX-117YW-2326,Adipose - Subcutaneous,1,0,0
GTEX-117YW-2426,Muscle - Skeletal,1,1,0
GTEX-117YW-2526,Nerve - Tibial,1,0,0
GTEX-117YW-2626,Skin - Sun Exposed (Lower leg),1,1,0
GTEX-117YW-2726,Artery - Tibial,1,1,0
GTEX-117YW-2826,Pituitary,1,1,0
GTEX-117YW-2926,Brain - Cortex,1,0,0
GTEX-117YW-3026,Brain - Cerebellum,1,0,0
GTEX-117YX-0126,Adrenal Gland,1,1,0
GTEX-117YX-0226,Pancreas,1,1,0
GTEX-117YX-0326,Small Intestine - Terminal Ileum,1,1,0
GTEX-117YX-0526,Colon - Sigmoid,1,1,0
GTEX-117YX-0626,Heart - Atrial Appendage,1,1,0
GTEX-117YX-0726,Adipose - Visceral (Omentum),1,1,0
GTEX-117YX-0826,Colon - Transverse,1,1,0
GTEX-117YX-1026,Stomach,1,1,0
GTEX-117YX-1126,Heart - Left Ventricle,1,1,0
GTEX-117YX-1226,Thyroid,1,1,0
GTEX-117YX-1326,Lung,1,1,0
GTEX-117YX-1426,Breast - Mammary Tissue,1,1,0
GTEX-117YX-1526,Prostate,1,1,0
GTEX-117YX-1726,Artery - Coronary,1,1,0
GTEX-117YX-1826,Esophagus - Muscularis,1,1,0
GTEX-117YX-1926,Skin - Not Sun Exposed (Suprapubic),1,1,0
GTEX-117YX-2026,Testis,1,1,0
GTEX-117YX-2126,Spleen,1,1,0
GTEX-117YX-2226,Adipose - Subcutaneous,1,1,0
GTEX-117YX-2326,Skin - Sun Exposed (Lower leg),1,1,0
GTEX-117YX-2426,Nerve - Tibial,1,1,0
GTEX-117YX-2526,Muscle - Skeletal,1,1,0
GTEX-117YX-2626,Artery - Tibial,1,1,0
GTEX-1192W-0126,Thyroid,1,1,0
GTEX-1192W-0226,Heart - Atrial Appendage,1,1,0
GTEX-1192W-0326,Heart - Left Ventricle,1,0,0
GTEX-1192W-0426,Artery - Aorta,1,0,0
GTEX-1192W-0526,Artery - Coronary,1,0,0
GTEX-1192W-0626,Lung,1,0,1
GTEX-1192W-0726,Liver,1,0,0
GTEX-1192W-0826,Esophagus - Gastroesophageal Junction,1,0,0
GTEX-1192W-0926,Esophagus - Mucosa,1,0,0
GTEX-1192W-1026,Esophagus - Muscularis,1,0,0
GTEX-1192W-1126,Stomach,1,0,0
GTEX-1192W-1226,Adrenal Gland,1,0,0
GTEX-1192W-1326,Kidney - Cortex,1,0,1
GTEX-1192W-1426,Spleen,1,0,0
GTEX-1192W-1526,Pancreas,1,0,0
GTEX-1192W-1626,Adipose - Visceral (Omentum),1,0,0
GTEX-1192W-1726,Small Intestine - Terminal Ileum,1,0,0
GTEX-1192W-1826,Colon - Transverse,1,0,1
GTEX-1192W-1926,Colon - Sigmoid,1,0,0
GTEX-1192W-2026,Breast - Mammary Tissue,1,0,0
GTEX-1192W-2126,Prostate,1,0,0
GTEX-1192W-2226,Skin - Not Sun Exposed (Suprapubic),1,0,0
GTEX-1192W-2326,Testis,1,0,1
GTEX-1192W-2426,Adipose - Subcutaneous,1,0,0
GTEX-1192W-2526,Muscle - Skeletal,1,0,0
GTEX-1192W-2626,Skin - Sun Exposed (Lower leg),1,1,0
GTEX-1192W-2726,Artery - Tibial,1,0,0
GTEX-1192W-2826,Nerve - Tibial,1,0,0
GTEX-1192W-2926,Brain - Cortex,1,0,0
GTEX-1192W-3026,Pituitary,1,1,0
GTEX-1192W-3126,Brain - Cerebellum,1,0,0
GTEX-1192X-0126,Adipose - Subcutaneous,1,0,0
GTEX-1192X-0226,Skin - Sun Exposed (Lower leg),1,1,0
GTEX-1192X-0326,Nerve - Tibial,1,1,0
GTEX-1192X-0426,Muscle - Skeletal,1,1,0
GTEX-1192X-0526,Artery - Tibial,1,0,0
GTEX-1192X-0626,Heart - Left Ventricle,1,0,0
GTEX-1192X-0726,Heart - Atrial Appendage,1,1,0
GTEX-1192X-0826,Artery - Aorta,1,0,0
GTEX-1192X-0926,Artery - Coronary,1,0,0
GTEX-1192X-1026,Liver,1,0,0
GTEX-1192X-1126,Thyroid,1,1,0
GTEX-1192X-1226,Spleen,1,0,0
GTEX-1192X-1326,Lung,1,0,1
GTEX-1192X-1426,Pancreas,1,0,0
GTEX-1192X-1526,Adipose - Visceral (Omentum),1,1,0
GTEX-1192X-1626,Esophagus - Muscularis,1,0,0
GTEX-1192X-1726,Esophagus - Mucosa,1,0,0
GTEX-1192X-1826,Esophagus - Gastroesophageal Junction,1,1,0
GTEX-1192X-1926,Stomach,1,0,0
GTEX-1192X-2026,Kidney - Cortex,1,0,1
GTEX-1192X-2126,Prostate,1,0,1
GTEX-1192X-2226,Adrenal Gland,1,0,0
GTEX-1192X-2326,Breast - Mammary Tissue,1,1,0
GTEX-1192X-2426,Colon - Sigmoid,1,0,0
GTEX-1192X-2526,Small Intestine - Terminal Ileum,1,1,0
GTEX-1192X-2626,Colon - Transverse,1,0,1
GTEX-1192X-2726,Skin - Not Sun Exposed (Suprapubic),1,1,0
GTEX-1192X-2826,Testis,1,0,0
GTEX-1192X-2926,Minor Salivary Gland,1,1,0
GTEX-1192X-3026,Pituitary,1,1,0
GTEX-1192X-3126,Brain - Cortex,1,1,0
GTEX-1192X-3226,Brain - Cerebellum,1,1,0
GTEX-11DXW-0226,Skin - Sun Exposed (Lower leg),1,1,0
GTEX-11DXW-0326,Adipose - Subcutaneous,1,1,0
GTEX-11DXW-0426,Nerve - Tibial,1,1,0
GTEX-11DXW-0526,Artery - Tibial,1,1,0
GTEX-11DXW-0626,Breast - Mammary Tissue,1,1,0
GTEX-11DXW-0726,Muscle - Skeletal,1,1,0
GTEX-11DXW-0826,Skin - Not Sun Exposed (Suprapubic),1,1,0
GTEX-11DXW-1026,Brain - Cerebellum,1,1,0
GTEX-11DXW-1126,Brain - Cortex,1,1,0
GTEX-11DXW-1226,Pituitary,1,1,0
GTEX-11DXX-0126,Adrenal Gland,1,1,0
GTEX-11DXX-0226,Thyroid,1,1,0
GTEX-11DXX-0326,Heart - Left Ventricle,1,1,0
GTEX-11DXX-0426,Artery - Aorta,1,1,0
GTEX-11DXX-0526,Heart - Atrial Appendage,1,1,0
GTEX-11DXX-0626,Lung,1,1,0
GTEX-11DXX-0726,Spleen,1,1,0
GTEX-11DXX-0826,Artery - Coronary,1,1,0
GTEX-11DXX-0926,Pancreas,1,1,0
GTEX-11DXX-1026,Esophagus - Muscularis,1,1,0
GTEX-11DXX-1126,Esophagus - Mucosa,1,1,0
GTEX-11DXX-1226,Esophagus - Gastroesophageal Junction,1,1,0
GTEX-11DXX-1326,Stomach,1,1,0
GTEX-11DXX-1426,Ovary,1,1,0
GTEX-11DXX-1526,Uterus,1,1,0
GTEX-11DXX-1626,Small Intestine - Terminal Ileum,1,1,0
GTEX-11DXX-1726,Vagina,1,1,0
GTEX-11DXX-1826,Colon - Transverse,1,1,1
GTEX-11DXX-1926,Colon - Sigmoid,1,1,0
GTEX-11DXX-2026,Adipose - Visceral (Omentum),1,1,0
GTEX-11DXX-2126,Skin - Not Sun Exposed (Suprapubic),1,1,0
GTEX-11DXX-2226,Breast - Mammary Tissue,1,0,0
GTEX-11DXX-2326,Adipose - Subcutaneous,1,1,0
GTEX-11DXX-2426,Skin - Sun Exposed (Lower leg),1,1,0
GTEX-11DXX-2526,Nerve - Tibial,1,1,0
GTEX-11DXX-2626,Artery - Tibial,1,1,0
GTEX-11DXX-2726,Muscle - Skeletal,1,1,0
GTEX-11DXY-0126,Skin - Not Sun Exposed (Suprapubic),1,1,0
GTEX-11DXY-0226,Testis,1,1,0
GTEX-11DXY-0326,Adipose - Visceral (Omentum),1,1,0
GTEX-11DXY-0426,Thyroid,1,1,0
GTEX-11DXY-0526,Liver,1,1,0
GTEX-11DXY-0826,Heart - Left Ventricle,1,1,0
GTEX-11DXY-1026,Heart - Atrial Appendage,1,1,0
GTEX-11DXY-1126,Artery - Coronary,1,1,0
GTEX-11DXY-1326,Esophagus - Gastroesophageal Junction,1,1,0
GTEX-11DXY-1426,Esophagus - Mucosa,1,1,0
GTEX-11DXY-1526,Esophagus - Muscularis,1,1,0
GTEX-11DXY-1626,Adrenal Gland,1,1,0
GTEX-11DXY-2026,Colon - Sigmoid,1,1,0
GTEX-11DXY-2326,Breast - Mammary Tissue,1,1,0
GTEX-11DXY-2626,Skin - Sun Exposed (Lower leg),1,1,0
GTEX-11DXY-2726,Muscle - Skeletal,1,1,0
GTEX-11DXY-3026,Pituitary,1,1,0
GTEX-11DXY-3126,Brain - Cerebellum,1,1,0
GTEX-11DXY-3226,Brain - Cortex,1,1,0
GTEX-11DXZ-0126,Liver,1,1,0
GTEX-11DXZ-0226,Adrenal Gland,1,1,0
GTEX-11DXZ-0326,Heart - Atrial Appendage,1,1,0
GTEX-11DXZ-0426,Artery - Aorta,1,1,0
GTEX-11DXZ-0526,Artery - Coronary,1,1,0
GTEX-11DXZ-0626,Heart - Left Ventricle,1,1,0
GTEX-11DXZ-0726,Lung,1,1,1
GTEX-11DXZ-0826,Pancreas,1,0,0
GTEX-11DXZ-0926,Thyroid,1,1,0
GTEX-11DXZ-1026,Esophagus - Gastroesophageal Junction,1,1,0
GTEX-11DXZ-1126,Esophagus - Muscularis,1,0,0
GTEX-11DXZ-1226,Esophagus - Mucosa,1,1,0
GTEX-11DXZ-1326,Small Intestine - Terminal Ileum,1,1,0
GTEX-11DXZ-1426,Adipose - Visceral (Omentum),1,1,0
GTEX-11DXZ-1526,Stomach,1,0,0
GTEX-11DXZ-1626,Colon - Sigmoid,1,1,0
GTEX-11DXZ-1726,Colon - Transverse,1,1,1
GTEX-11DXZ-1826,Prostate,1,1,0
GTEX-11DXZ-1926,Breast - Mammary Tissue,1,1,0
GTEX-11DXZ-2026,Skin - Not Sun Exposed (Suprapubic),1,1,0
GTEX-11DXZ-2126,Testis,1,1,0
GTEX-11DXZ-2226,Adipose - Subcutaneous,1,0,0
GTEX-11DXZ-2326,Skin - Sun Exposed (Lower leg),1,1,0
GTEX-11DXZ-2426,Muscle - Skeletal,1,1,0
GTEX-11DXZ-2526,Nerve - Tibial,1,1,0
GTEX-11DXZ-2626,Artery - Tibial,1,1,0
GTEX-11DYG-0126,Skin - Sun Exposed (Lower leg),1,1,0
GTEX-11DYG-0226,Adipose - Subcutaneous,1,0,0
GTEX-11DYG-0326,Muscle - Skeletal,1,0,0
GTEX-11DYG-0426,Nerve - Tibial,1,1,0
GTEX-11DYG-0526,Artery - Tibial,1,0,0
GTEX-11DYG-0626,Lung,1,0,1
GTEX-11DYG-0726,Breast - Mammary Tissue,1,0,0
GTEX-11DYG-0826,Thyroid,1,1,0
GTEX-11DYG-0926,Artery - Coronary,1,1,0
GTEX-11DYG-1026,Heart - Atrial Appendage,1,1,0
GTEX-11DYG-1126,Heart - Left Ventricle,1,0,0
GTEX-11DYG-1226,Artery - Aorta,1,1,0
GTEX-11DYG-1326,Esophagus - Mucosa,1,1,0
GTEX-11DYG-1426,Esophagus - Muscularis,1,1,0
GTEX-11DYG-1526,Skin - Not Sun Exposed (Suprapubic),1,1,0
GTEX-11DYG-1626,Testis,1,0,0
GTEX-11DYG-1726,Liver,1,0,0
GTEX-11DYG-1826,Spleen,1,0,0
GTEX-11DYG-1926,Esophagus - Gastroesophageal Junction,1,1,0
GTEX-11DYG-2026,Adipose - Visceral (Omentum),1,1,0
GTEX-11DYG-2126,Stomach,1,0,0
GTEX-11DYG-2226,Adrenal Gland,1,0,0
GTEX-11DYG-2326,Kidney - Cortex,1,0,0
GTEX-11DYG-2426,Pancreas,1,0,0
GTEX-11DYG-2526,Prostate,1,1,1
GTEX-11DYG-2626,Small Intestine - Terminal Ileum,1,0,0
GTEX-11DYG-2726,Colon - Sigmoid,1,0,0
GTEX-11DYG-2826,Colon - Transverse,1,0,0
GTEX-11DYG-2926,Brain - Cerebellum,1,1,0
GTEX-11DYG-3026,Brain - Cortex,1,0,0
